C-4902;04-11-2021;280X;634;1017;342;55;0:10;;X;;;;X;;MARCELO;;;;;;;
C-2370;05-11-2021;278A;506;619;110;12;0:10;;;;;;X;LIMPEZA;MARCELO;22-11-2021;15760;Brisa;0;comodato;;
C-3187;05-11-2021;278A;488;573;100;14;0:10;;;;;;X;LIMPEZA;MARCELO;22-11-2021;15760;Brisa;0;comodato;;
C-3687;06-11-2021;TN3492;635;840;230;24;0:20;;;;;;;KATUN;ADALBERTO;;;;;;;
C-3775;06-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;;;;;;;
C-4719;06-11-2021;TN3492;518;723;200;0;0:18;;;;;;;KATUN;ADALBERTO;;;;;;;
C-4661;06-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;25-11-2021;16115;Cetel;0;comodato;;
C-3435;06-11-2021;TN3492;638;838;225;22;0:20;;;;;;;KATUN;ADALBERTO;25-11-2021;16115;Cetel;0;comodato;;
C-3256;06-11-2021;TN3492;585;585;0;0;0:05;;;;;;;JLT;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4433;06-11-2021;TN3492;583;826;253;0;0:18;;;;;;;PO6880;ADALBERTO;05-01-2021;15928;Mac;0;comodato;;
C-4334;06-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;05-01-2021;15928;Mac;0;comodato;;
C-4403;06-11-2021;TN3492;575;787;202;0;0:18;;;;;;;PO6880;ADALBERTO;16-11-2021;15928;Mac;0;comodato;;
C-4402;06-11-2021;DR3440;0;0;0;0;0:10;X;;;;;;C.720;ADALBERTO;18-11-2021;15928;Mac;0;comodato;;
C-4702;06-11-2021;TN3492;699;778;70;0;0:18;;;;;;;PO6880;ADALBERTO;;;;;;;
C-2739;06-11-2021;TN3392;631;631;0;0;0:20;;;;;;;U.R;ADALBERTO;22-11-2021;15760;Brisa;0;comodato;;
C-3754;06-11-2021;TN3392;582;582;0;0;0:15;;;;;;;LAMINA DOS. SUJA;ADALBERTO;;;;;;;
C-2220;08-11-2021;283A;596;606;20;0;0:10;;;;;;X;LIMPEZA;MARCELO;;;;;;;
C-0536;08-11-2021;ML2010;796;796;0;0;0:23;X;X;;;;;;MARCELO;;;;;;;
C-4794;08-11-2021;D101;471;537;110;6;0:10;;;;;;;LIMPEZA;MARCELO;;;;;;;
C-4619;08-11-2021;D101;452;511;111;9;0:10;;;;;;;LIMPEZA;MARCELO;;;;;;;
C-4544;08-11-2021;D101;540;552;20;0;0:10;X;;;;;;;MARCELO;;;;;;;
C-4089;08-11-2021;TN2370;558;578;135;0;0:10;;;;;;;LIMPEZA;MARCELO;;;;;;;
C-4604;10-11-2021;D101;590;649;80;3;0:10;;;;;;;LIMPEZA;MARCELO;10-11-2021;16162;N.Esperança;40;;;
C-2967;10-11-2021;D101;587;600;90;0:00;0:10;X;;;;;;;MARCELO;10-11-2021;16164;Alto PR;40;;;
C-4254;10-11-2021;D101;546;557;93;12;0:10;;;;;;;LIMPEZA;MARCELO;10-11-2021;16163;Iretama;40;;;
C-4945;10-11-2021;TN2370;306;509;130;0;0:10;;;;;;;LIMPEZA;MARCELO;10-11-2021;15956;Cei Alicerce;0;Comodato;;
C-3357;10-11-2021;TN2370;606;606;0;0;0:10;;;;;;;LIMPEZA;MARCELO;23-11-2021;16256;Conase;0;comodato;;
C-3853;10-11-2021;CF410;554;574;39;19;0:15;;;;;;;;ADALBERTO;;;;;;;
C-3855;10-11-2021;CF412;556;555;18;19;0:15;;;;;;;;ADALBERTO;;;;;;;
C-3872;11-11-2021;TN2370C;612;630;55;0;0:25;;;;;;;LIMPEZA;MARCELO;17-11-2021;16199;Promessa de Deus;0;comodato;;
C-3770;11-11-2021;TN2370C;609;609;0;0;0:10;;;;;;;LIMPEZA;MARCELO;22-11-2021;16256;Conase;0;comodato;;
C-3384;11-11-2021;TN2370;475;531;130;0;0:10;;;;;;;LIMPEZA;MARCELO;17-11-2021;16199;Promessa de Deus;0;comodato;;
C-4946;11-11-2021;TN2370C;314;505;139;0;0:18;;;;;;;LIMPEZA;MARCELO;22-11-2021;16256;Conase;0;comodato;;
C-3623;11-11-2021;TN2370C;501;517;130;0;0:12;;;;;;;LIMPEZA;MARCELO;23-11-2021;15956;Alicerce;0;comodato;;
C-3899;11-11-2021;TN2370;562;610;100;0;0:10;;;;;;;LIMPEZA;MARCELO;07-02-2022;16644;Guiomar Moreira;0;comodato;;
C-4007;11-11-2021;280X;804;1097;333;32;0:10;X;;X;;;X;;MARCELO;16-11-2021;15777;Hp Plastico;0;comodato;;
C-3433;11-11-2021;280X;978;1058;200;29;0:10;X;X;X;;;X;;MARCELO;17-11-2021;16197;Masami;0;Comodato;;
C-3794;12-11-2021;CF410;552;593;58;19;0:12;X;;;;;X;;ADALBERTO;12-11-2021;16173;Rural;80;;;
C-3803;12-11-2021;CF411;565;599;60;26;0:12;;;;;;X;;ADALBERTO;12-11-2021;16173;Rural;80;;;
C-3774;12-11-2021;CF413;679;704;55;30;0:12;;;;;;X;;ADALBERTO;12-11-2021;16173;rural;80;;;
C-3802;12-11-2021;CF412;646;667;55;33;0:12;X;;;;;;;ADALBERTO;12-11-2021;16173;Rural;80;;;
C-4903;12-11-2021;280X;639;1013;332;51;0:15;;X;;;;X;;MARCELO;17-11-2021;15779;Bavaria;0;Comodato;;
C-4618;12-11-2021;280X;641;1041;340;43;0:10;;X;;;;X;;MARCELO;26-11-2021;16115;Cetel;0;comodato;;
C-3399;12-11-2021;280C;706;1084;330;47;0:10;X;;;;;X;;MARCELO;17-11-2021;15779;Bavaria;0;Comodato;;
C-4825;12-11-2021;D104;726;726;0;0;0:05;;;;;;;OK;MARCELO;19-11-2021;15716;Macripar B;0;comodato;;
C-3345;12-11-2021;D104;712;712;0;0;0:05;;;;;;;OK;MARCELO;16-11-2021;16185;Rural ;50;;;
C-4740;12-11-2021;283A;487;599;112;24;0:10;;;;;;X;LIMPEZA;MARCELO;23-12-2021;16429;Akigelo;45;;;
C-4947;12-11-2021;283A;523;595;111;15;0:10;;;;;;X;LIMPEZA;MARCELO;03-12-2021;16313;Akigelo;45;;;
C-3576;13-11-2021;TN3492;589;589;0;0;0:05;;;;;;;OK;ADALBERTO;24-11-2021;16254;Odonto Saul;0;comodato;;
C-3575;13-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;24-11-2021;16254;Odonto Saul;0;comodato;;
C-4547;13-11-2021;TN3492;595;595;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4948;13-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4246;13-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4646;13-11-2021;TN3492;668;855;242;55;0:20;;;;;;;KATUN;ADALBERTO;15-12-2021;16380;Dialli;0;comodato;;
C-3577;13-11-2021;DR3440;0;0;0;0;0:10;X;;;;;;C.720;ADALBERTO;29-11-2021;16200;Toyopar;0;comodato;;
C-4875;13-11-2021;TN3492;571;769;200;0;0:20;;;;;;;PO6880;ADALBERTO;24-11-2021;16253;Nortis;0;comodato;;
C-4690;13-11-2021;DR3440;0;0;0;0;0:10;X;;;;;;C.720;ADALBERTO;24-11-2021;16253;Nortis;0;comodato;;
C-4949;13-11-2021;TN3492;645;926;302;17;0:20;;;;;;;KATUN;ADALBERTO;17-11-2021;16115;Cetel;0;comodato;;
C-4950;13-11-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;17-11-2021;16115;Cetel;0;comodato;;
C-3801;13-11-2021;CF410;629;654;33;9;0:15;;;;;;X;;ADALBERTO;16-11-2021;16185;Rural;0;não cobrou;;
C-4897;13-11-2021;CF411;606;650;47;3;0:15;;;;;;X;;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4951;13-11-2021;CF412;531;552;45;24;0:15;;;;;;X;;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4896;13-11-2021;CF413;585;645;75;15;0:15;X;;;;;X;;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4906;13-11-2021;CF410;582;582;0;0;0:20;;;;;;;DEVELOPER;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4895;13-11-2021;CF411;610;632;23;0;0:20;;;;;;;DEVELOPER;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4907;13-11-2021;CF412;584;624;55;15;0:20;;;;;;X;;ADALBERTO;17-11-2021;16014;Salgado;0;comodato;;
C-4647;15-11-2021;390A;1173;1641;510;38;0:15;;;;;;X;;ADALBERTO;13-12-2021;16295;Dialli;0;Comodato;;
C-4656;13-11-2021;CF410;548;555;38;33;;;;;;;;;ADALBERTO;16-11-2021;16185;Rural ;80;;;
C-3241;15-11-2021;390A;1234;1643;500;88;0:15;;;;;;X;;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-2953;15-11-2021;390A;1208;1657;490;41;0:15;;;;;;X;;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4952;15-11-2021;TN3392;541;722;230;50;0:20;;;;;;;TT6880;ADALBERTO;18-11-2021;16100;Dialli;0;comodato;;
C-4165;15-11-2021;DR3302;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;01-12-2021;16295;Dialli;0;Comodato;;
C-2876;15-11-2021;TN3392;576;576;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;22-11-2021;15760;Brisa;0;comodato;;
C-2601;17-11-2021;TN450;616;550;20;0;0:10;;;;;;;LIMPEZA;MARCELO;17-11-2021;16200;Toyopar;0;comodato;;
